01　北海道	Hokkaido
02　青森	Aomori
03　岩手	Iwate
04　宮城	Miyagi
05　秋田	Akita
06　山形	Yamagata
07　福島	Fukushima
08　茨城	Ibaraki
09　栃木	Tochigi
10　群馬	Gumma
11　埼玉	Saitama
12　千葉	Chiba
13　東京	Tokyo
14　神奈川	Kanagawa
15　新潟	Niigata
16　富山	Toyama
17　石川	Ishikawa
18　福井	Fukui
19　山梨	Yamanashi
20　長野	Nagano
21　岐阜	Gifu
22　静岡	Shizuoka
23　愛知	Aichi
24　三重	Mie
25　滋賀	Shiga
26　京都	Kyoto
27　大阪	Osaka
28　兵庫	Hyogo
29　奈良	Nara
30　和歌山	Wakayama
31　鳥取	Tottori
32　島根	Shimane
33　岡山	Okayama
34　広島	Hiroshima
35　山口	Yamaguchi
36　徳島	Tokushima
37　香川	Kagawa
38　愛媛	Ehime
39　高知	Kochi
40　福岡	Fukuoka
41　佐賀	Saga
42　長崎	Nagasaki
43　熊本	Kumamoto
44　大分	Oita
45　宮崎	Miyazaki
46　鹿児島	Kagoshima
47　沖縄	Okinawa 
